Double unlock,[0, 2, 3, 40],2.5,[0, 0.0, 0.0, 50.0],0.0
Double lock,[0, 2, 23, 45],12.5,[0, 13.333333333333334, 4.3478260869565215, 0.0],2.1739130434782608
Wrong size argument,[0, 1, 13, 25],7.0,[0, 0.0, 53.84615384615385, 0.0],0.0
Thread deadlock,[0, 1, 11, 31],6.0,[0, 9.67741935483871, 54.54545454545454, 0.0],4.838709677419355
Reliance on integer endianness,[0, 3, 4, 60],3.5,[0, 13.333333333333334, 33.33333333333333, 100.0],23.333333333333332
Overflowed array index write,[0, 0, 2, 2],1.0,[0, 0.0, 50.0, 0],0.0
Incompatible cast,[0, 0, 0, 3],0.0,[0, 0, 66.66666666666666, 0],0.0
Missing parentheses,[0, 1, 3, 19],2.0,[0, 15.789473684210526, 100.0, 100.0],57.89473684210526
Free of array-typed value,[0, 2, 4, 18],3.0,[0, 38.88888888888889, 0.0, 0.0],0.0
Double close,[0, 0, 2, 6],1.0,[0, 0, 50.0, 100.0],25.0
Inequality comparison against NULL,[0, 0, 4, 5],2.0,[0, 0, 80.0, 50.0],25.0
Illegal address computation,[0, 1, 4, 34],2.5,[0, 14.705882352941178, 100.0, 0.0],7.352941176470589
Uninitialized array index read,[0, 0, 1, 6],0.5,[0, 33.33333333333333, 100.0, 0],16.666666666666664
Large stack use,[0, 0, 105, 233],52.5,[0, 0, 2.857142857142857, 10.72961373390558],1.4285714285714286
Recursion in included headers,[0, 0, 16, 29],8.0,[0, 0, 0.0, 12.5],0.0
Null pointer dereference,[0, 0, 218, 362],109.0,[0, 0, 52.48618784530387, 16.51376146788991],8.256880733944955
Unused pointer value,[0, 0, 4, 23],2.0,[0, 0, 75.0, 21.73913043478261],10.869565217391305
Uninitialized value use,[0, 0, 178, 298],89.0,[0, 0, 62.35955056179775, 43.624161073825505],21.812080536912752
Use of untrusted value,[0, 0, 1, 3],0.5,[0, 0, 100.0, 33.33333333333333],16.666666666666664
Buffer overflow,[0, 0, 0, 1],0.0,[0, 0, 0.0, 0],0.0
Misused sizeof,[0, 0, 4, 37],2.0,[0, 0, 75.0, 27.027027027027028],13.513513513513514
Allocation size error,[0, 0, 1, 1],0.5,[0, 0, 100.0, 100.0],50.0
Parse recovery warning,[0, 0, 6, 138],3.0,[0, 0, 0.0, 3.6231884057971016],0.0
Branch past initialization,[0, 0, 1, 5],0.5,[0, 0, 0.0, 0.0],0.0
Expression with no effect,[0, 0, 3, 22],1.5,[0, 0, 66.66666666666666, 31.818181818181817],15.909090909090908
Missing/extra lock or unlock,[0, 0, 0, 1],0.0,[0, 0, 100.0, 0],0.0
Incorrect delete operator,[0, 0, 0, 1],0.0,[0, 0, 100.0, 0],0.0
Uninitialized pointer write,[0, 0, 0, 6],0.0,[0, 0.0, 0, 0],0.0
Extra high-order bits,[0, 0, 1, 2],0.5,[0, 50.0, 0, 100.0],25.0
Unexpected control flow,[0, 0, 1, 2],0.5,[0, 0.0, 0, 0.0],0.0
Memset fill value of '0',[0, 0, 0, 4],0.0,[0, 0.0, 0, 0],0.0
Risky cryptographic function,[0, 0, 0, 6],0.0,[0, 0.0, 0, 0],0.0
Pointer comparison with string literal,[0, 0, 0, 1],0.0,[0, 0.0, 0, 0],0.0
Overlapping buffer in memory copy,[0, 0, 0, 2],0.0,[0, 50.0, 0, 0],0.0
Free of function pointer,[0, 0, 0, 6],0.0,[0, 83.33333333333334, 0, 0],0.0
Uninitialized array index write,[0, 0, 0, 2],0.0,[0, 0.0, 0, 0],0.0
Negative loop bound,[0, 0, 0, 2],0.0,[0, 0.0, 0, 0],0.0
Misuse of memcmp-style function,[0, 0, 0, 9],0.0,[0, 11.11111111111111, 0, 0],0.0
Format string vulnerability,[0, 0, 0, 1],0.0,[0, 0.0, 0, 0],0.0
